Год,коэффициент_замещения,коэффициент_нагрузки,ест_прирост_‰,миграция_‰,доля_пенсионеров,опережение_зп,z_замещение,z_нагрузка,z_прирост,z_миграция,z_старение,z_финустой,ИПУ,Округ,медианная_зарплата,средняя_пенсия,родившиеся,умершие,миграция,население_всего,занятые,пенсионеры_всего
2039,0.5923389570828508,0.7242520348066717,-8.794054213883198,-1.4892869886651283e-05,0.38407011471256225,-0.03285928154633733,1.4095459664565855,2.427867895051041,1.2044768765014624,-7.273041505639117e-06,1.2930955949389713,1.6723524602488338,33.601401771299656,Дальневосточный,,,,,,,,
2040,0.5965303023828539,0.7266212556456801,-8.702920299623337,-1.5740040149259116e-05,0.3848724984957401,-0.022087775199150173,1.4367576309500238,2.4577890639781903,1.2208369927258593,-7.686763275129133e-06,1.303986492868919,1.7612494630016116,33.17947747939515,Дальневосточный,,,,,,,,
2041,0.6004297203289877,0.7289622032652068,-8.619063847850708,-1.659012388477432e-05,0.3856686041789361,-0.011178201052106984,1.4620740020134644,2.4873531670876234,1.2358906783741448,-8.101907860338495e-06,1.3147921770301816,1.8512859362414562,32.73569445142272,Дальневосточный,,,,,,,,
2042,0.6040362499534266,0.7312624479916705,-8.542408381957761,-1.743847623747463e-05,0.3864541577365639,-0.00019417191675230594,1.485488840711151,2.5164032285682194,1.2496516623220957,-8.516206912136853e-06,1.3254546353126104,1.9419368848469132,32.2746919743119,Дальневосточный,,,,,,,,
2043,0.6073801008932376,0.7335287957341716,-8.472204932924685,-1.8287419442097885e-05,0.3872314215539039,0.010889800928555404,1.507198278463783,2.5450252010473315,1.2622543974823535,-8.930794510776213e-06,1.3360045754743686,2.0334126666718335,31.797409311726632,Дальневосточный,,,,,,,,
2044,0.6104793086217062,0.7357616099606279,-8.407968931557816,-1.9136953909537624e-05,0.38800047093008105,0.022069365963995224,1.5273194078067882,2.5732236748040878,1.2737858724188507,-9.345670856919432e-06,1.3464430195638835,2.1256773687197397,31.305882691196963,Дальневосточный,,,,,,,,
2045,0.6133583993809688,0.7379672359963652,-8.349088330660512,-1.9989409976273187e-05,0.3887634543268359,0.0333709973769063,1.5460114615937084,2.601078785699124,1.2843559602052204,-9.761973987362996e-06,1.3567991290348296,2.218949481871007,30.80066179289713,Дальневосточный,,,,,,,,
2046,0.616017594487412,0.7401339866776349,-8.295452313456241,-2.0840129824506448e-05,0.3895162770810563,0.044728234083545204,1.5632758766871324,2.6284429351654186,1.2939845543724098,-1.0177429222852384e-05,1.3670173262958516,2.312680504276957,30.28636395035854,Дальневосточный,,,,,,,,
2047,0.6184799861515333,0.7422682984755862,-8.246487814438225,-2.169144216968011e-05,0.390261109018764,0.0561669783751646,1.579262575710823,2.6553974101549405,1.3027745301054825,-1.0593173808539032e-05,1.3771270627818164,2.4070842069722582,29.763383345825762,Дальневосточный,,,,,,,,
2048,0.6207595456132471,0.7443705364116102,-8.20181633017947,-2.2543347423464866e-05,0.39099802377388504,0.06768222289005188,1.5940622647903537,2.681946820565817,1.3107938353259916,-1.1009207945465327e-05,1.3871293379391108,2.502119264311863,29.23338478971072,Дальневосточный,,,,,,,,
2049,0.6228748977107881,0.7464466949209985,-8.16097857945796,-2.3398182425804492e-05,0.3917290813007339,0.07930065191800739,1.6077958628224065,2.7081668708271267,1.3181249189689237,-1.142667284644199e-05,1.3970521118943595,2.5980059011470935,28.696466661669852,Дальневосточный,,,,,,,,
2050,0.6248267170726254,0.7484857944726184,-8.12386906873316,-2.4251276360076623e-05,0.39245035969333886,0.09095347437985157,1.620467749728521,2.7339188991474703,1.324786718952156,-1.1843287484143985e-05,1.4068421519196275,2.694176386228663,28.15704522387255,Дальневосточный,,,,,,,,
2006,0.2899262044492661,0.5289869156403085,-18.725480903503787,,0.2822399040243126,,-0.553822301768945,-0.03815828535424538,-0.5783862457054193,,-0.08906398261192544,,,Приволжский,12818.901128066427,3716.5353492707154,22636.0,387822.6778573728,,19502125.458846904,10405319.782082772,5504278.017775053
2007,0.2995728462825698,0.5263073761625379,-18.707511402157003,,0.2916524685412445,,-0.49119296386733263,-0.07199850490714056,-0.575160408947332,,0.038694431207151124,,,Приволжский,12434.121717108965,3724.9252338182473,26388.0,400365.4198143314,,19990762.62870599,11077852.093191244,5830355.268684161
2008,0.3361702069119466,0.6049802220693358,-18.11351948891137,,0.2946033173647593,,-0.25359023073264236,0.9215701289657701,-0.46852857143686366,,0.07874682760071403,,,Приволжский,12176.958542582088,4093.530672818017,29682.0,393689.2153600449,,20095885.59434188,9785963.81419768,5920314.561475797
2009,0.3147673817626938,0.5504859440252239,-17.902206282945272,,0.2865807934455021,-0.0901488157202612,-0.3925447800447124,0.23335547540764348,-0.4305941906146202,,-0.03014431773020735,1.199543206555676,,Приволжский,13487.334198856148,4245.37287273239,28688.0,404230.3569628082,,20977434.34676946,10920768.903906211,6011729.779548121
2010,0.356585048568785,0.5655505875144974,-19.448354170538227,0.0,0.2882237305521315,-0.213551310883044,-0.12105001223712823,0.42360863174003166,-0.7081545186940151,0.0,-0.007844439905210682,0.18110515354832976,40.0554853522918,Приволжский,13952.498495493985,4975.252353671623,27268.98,449818.94,0.0,21726772.16255704,11072698.824466992,6262171.325548392
2011,0.3895809724671965,0.57137290650596,-18.07464361009253,0.0,0.2967999357279994,-0.1890467286024459,0.09317094702717701,0.49713938380120654,-0.4615496777838572,0.0,0.10856191968837874,0.38334092710128864,41.14745892689877,Приволжский,14489.0,5644.638710077211,27380.99,426623.95,0.0,22088566.09361141,11473916.460263856,6555884.996907535
